name,model_type,hidden_size,learning_rate,num_episodes,epsilon,online_learning_rate,memory_size,entropy_coefficient,training_agent_names,num_training_agents,cooperation_rate,retaliation_rate,forgiveness_rate,win_rate,avg_points_per_round,avg_score_per_game,score_variance,training_agents
Bot_1,LSTM,19,0.012543352916591519,38,0.1232020652321177,0.08147423671125674,11,0.0023571739577426466,"Pavlov,AlwaysDefect,Opposite,MajorityRule,TitforTat,TitForTwoTats,TwoTitsForTat,AlwaysCooperate",8,0.06331658291457286,0.9104396598516374,0.9059829059829059,0.3220338983050847,1.2222780569514238,244.11864406779662,3950.3757540936517,8
Bot_2,LSTM,15,0.021199214232165094,40,0.1856315977563558,0.19233076461820953,14,0.0022478910765888578,"TitforTat,Random,TwoTitsForTat,Pavlov,GrimTrigger,AlwaysDefect",6,0.034170854271356785,0.8657595450852965,0.3422459893048128,0.4576271186440678,1.6603015075376883,326.1864406779661,20517.64320597529,6
Bot_3,LSTM,23,0.007815007311522702,42,0.1980298663491309,0.072539101248623,11,0.0031869680812690905,"TitForTwoTats,TitforTat,AlwaysDefect,GrimTrigger,Opposite,AlwaysCooperate",6,0.12613065326633166,0.8133614088820827,0.6712962962962964,0.2542372881355932,1.3629815745393634,271.5593220338983,21938.754955472567,6
Bot_4,RNN,29,0.012634746127055646,43,0.1247231802861359,0.05740759508973172,12,0.006521660136341177,"Opposite,AlwaysCooperate,MajorityRule,Pavlov,AlwaysDefect,Random,GrimTrigger,TitforTat",8,0.2370184254606365,0.7095049504950495,0.8635204081632654,0.13559322033898305,1.3418760469011726,268.93220338983053,23908.436081585754,8
Bot_5,RNN,18,0.019511251579155283,48,0.06468011603386024,0.10632681016481896,20,0.004467006567296869,"Pavlov,MajorityRule,Opposite",3,0.1443886097152429,0.8038801383019593,0.7866666666666667,0.2033898305084746,1.352428810720268,257.8474576271187,14827.824188451592,3
Bot_6,LSTM,14,0.025612919880224065,27,0.17773729868967747,0.12350087648088362,14,0.001928406792629923,"Pavlov,AlwaysDefect,TitForTwoTats",3,0.09899497487437187,0.8091880341880342,0.6956521739130435,0.3389830508474576,1.7425460636515913,343.33898305084745,38166.495259982774,3
Bot_7,RNN,18,0.03752544359077358,42,0.0638593373885595,0.1784421966930857,13,0.0025116466065246874,"MajorityRule,AlwaysDefect,AlwaysCooperate",3,0.1728643216080402,0.7721133726459958,0.8690807799442898,0.23728813559322035,1.2785594639865996,255.0677966101695,6818.673369721346,3
Bot_8,LSTM,29,0.008612520749167569,21,0.12095859087225828,0.1289174513939086,15,0.0030033457578964467,"Pavlov,TitforTat,Random,TitForTwoTats,AlwaysDefect",5,0.03333333333333333,0.8813256598531455,0.5052083333333333,0.423728813559322,1.5844221105527638,316.89830508474574,28038.532031025567,5
Bot_9,RNN,23,0.01779040993960299,37,0.15748883195023466,0.08909931010419914,20,0.00883279053838405,"Pavlov,MajorityRule,Random,TwoTitsForTat,TitforTat",5,0.22646566164154103,0.7165818921668362,0.9134615384615384,0.1694915254237288,1.4268006700167504,285.96610169491527,19354.303935650674,5
Bot_10,LSTM,27,0.006404676883413861,28,0.0742013515060278,0.08852143296472663,18,0.0012985698029463306,"GrimTrigger,AlwaysDefect,Random,TitForTwoTats,TitforTat,AlwaysCooperate",6,0.14321608040201006,0.7668024439918534,0.32217573221757323,0.3728813559322034,1.5495812395309883,312.66101694915255,33750.22407354209,6
Bot_11,LSTM,16,0.0065925527233903465,40,0.10601176437434492,0.053838677884423564,17,0.001760939569895353,"AlwaysDefect,MajorityRule,Opposite,Pavlov,AlwaysCooperate,TitforTat",6,0.05494137353433836,0.888037928519329,0.8391608391608392,0.288135593220339,1.2651591289782245,252.15254237288136,5422.3665613329495,6
Bot_12,RNN,26,0.044058585824585814,46,0.1620570457837069,0.09664926837342425,10,0.00927027241010963,"GrimTrigger,TwoTitsForTat,AlwaysCooperate,Opposite",4,0.2284757118927973,0.700920245398773,0.9164759725400458,0.22033898305084745,1.2499162479061976,249.08474576271186,11917.806377477735,4
Bot_13,LSTM,19,0.02067176511563834,46,0.14308213086688315,0.061596515414724946,10,0.005243345200265329,"TwoTitsForTat,GrimTrigger,MajorityRule,AlwaysDefect,Opposite,AlwaysCooperate,Random",7,0.024120603015075376,0.939529457515069,1.0,0.3728813559322034,1.522110552763819,298.5593220338983,27991.093938523412,7
Bot_14,LSTM,9,0.022100260660666882,47,0.12025428574937327,0.1017216863258053,17,0.0023696199167507013,"AlwaysDefect,AlwaysCooperate,MajorityRule,TitForTwoTats",4,0.0763819095477387,0.8694502172680899,0.7539682539682538,0.288135593220339,1.363819095477387,272.06779661016947,10074.57167480609,4
Bot_15,LSTM,29,0.02003170428330759,25,0.06733347541723514,0.11418518826574893,18,0.0033431139842851954,"GrimTrigger,AlwaysCooperate,AlwaysDefect",3,0.019430485762144054,0.9132712456344587,0.5094339622641509,0.3898305084745763,1.5244556113902847,303.6271186440678,27949.11519678253,3
Bot_16,RNN,19,0.02978076763709491,46,0.1785488084365574,0.05916606321938514,10,0.0020982856463806444,"Random,Opposite,GrimTrigger,Pavlov,TitForTwoTats,AlwaysCooperate,TitforTat,TwoTitsForTat",8,0.23450586264656617,0.6837502542200529,0.7931488801054019,0.1694915254237288,1.4289782244556113,285.3898305084746,19280.814133869575,8
Bot_17,RNN,10,0.0076643549298504214,48,0.11778312602352324,0.13797617319932318,16,0.001174720133881621,"MajorityRule,Opposite,TwoTitsForTat,GrimTrigger,AlwaysCooperate",5,0.1254606365159129,0.8261682242990654,0.7289879931389365,0.2033898305084746,1.620603015075377,323.6271186440678,40449.8609594944,5
Bot_18,RNN,17,0.04358030410805249,21,0.1831509260222834,0.07392247258138307,12,0.0011570258761636277,"TwoTitsForTat,Pavlov,AlwaysDefect",3,0.19262981574539365,0.7593582887700535,0.9297619047619048,0.06779661016949153,1.156113902847571,229.98305084745763,4216.118356794024,3
Bot_19,RNN,20,0.014139433876161072,28,0.07006595646851124,0.07799372031565213,20,0.0041252674314021,"AlwaysCooperate,MajorityRule,AlwaysDefect,GrimTrigger,TitforTat,TitForTwoTats",6,0.2050251256281407,0.748171760735046,0.8636363636363636,0.13559322033898305,1.199497487437186,239.77966101694915,9793.256535478311,6
Bot_20,RNN,30,0.02276901667127927,20,0.16700576229588188,0.05567408564409301,18,0.004398101436781153,"TitForTwoTats,Random,AlwaysDefect,MajorityRule,GrimTrigger,AlwaysCooperate,TwoTitsForTat",7,0.19765494137353434,0.7340567294879117,0.857843137254902,0.13559322033898305,1.2631490787269681,252.45762711864407,9938.451594369435,7
Bot_21,LSTM,26,0.021248839679378392,38,0.1774046006683081,0.1616240364442084,11,0.009909663480342088,"Opposite,Pavlov,MajorityRule,TwoTitsForTat,Random,TitforTat",6,0.0016750418760469012,0.9184695512820513,0.5333333333333333,0.4745762711864407,1.652931323283082,329.9830508474576,31559.711577133006,6
Bot_22,LSTM,29,0.03493825307289754,29,0.1001473559887914,0.11043223131962689,15,0.009080077470441124,"MajorityRule,Opposite,Random,GrimTrigger,AlwaysCooperate,AlwaysDefect,TwoTitsForTat,TitForTwoTats",8,0.11591289782244556,0.8259730538922155,0.9080459770114941,0.288135593220339,1.2860971524288107,255.72881355932202,2536.6722206262575,8
Bot_23,RNN,29,0.01302219764425751,50,0.16590160554081979,0.07566032576673222,14,0.0012464645967684073,"AlwaysDefect,MajorityRule,TitForTwoTats",3,0.39011725293132327,0.526772165618903,0.9096916299559472,0.1016949152542373,1.431323283082077,287.0169491525424,36084.76242459063,3
Bot_24,RNN,25,0.018487419139947017,33,0.07072480167719489,0.10988763011731731,14,0.0016918489293957248,"Pavlov,GrimTrigger,AlwaysCooperate,Opposite",4,0.23618090452261306,0.6391378574477166,0.8631578947368421,0.2711864406779661,1.5845896147403684,315.96610169491527,39102.032749210004,4
Bot_25,LSTM,26,0.031330653754161164,28,0.16665314690696365,0.11478273661881735,10,0.0038362956795245555,"AlwaysCooperate,TitForTwoTats,MajorityRule,Opposite,Pavlov,GrimTrigger",6,0.04623115577889447,0.8566959921798631,0.8256880733944955,0.3898305084745763,1.5229480737018426,304.3050847457627,16457.87302499282,6
Bot_26,RNN,10,0.025018381684559877,41,0.1564107599031705,0.13352344290950655,16,0.0032528683828985583,"TitForTwoTats,AlwaysDefect,Pavlov",3,0.16917922948073702,0.7009012785579543,0.8129251700680272,0.2711864406779661,1.5829145728643217,313.0508474576271,15072.794024705545,3
Bot_27,LSTM,27,0.04039217919436504,47,0.1452701457209451,0.08767231612093822,17,0.0024548801815964904,"TitforTat,AlwaysCooperate,TitForTwoTats,AlwaysDefect,TwoTitsForTat,Pavlov,Opposite",7,0.015912897822445562,0.9280742459396751,0.5463917525773195,0.4576271186440678,1.5139028475711893,302.135593220339,12243.507038207414,7
Bot_28,LSTM,18,0.038873409176279426,21,0.17558988334237396,0.06912487603936694,19,0.009309041356129035,"AlwaysCooperate,TitForTwoTats,TwoTitsForTat,MajorityRule",4,0.15142378559463987,0.7783018867924528,0.7520891364902508,0.1694915254237288,1.278391959798995,251.79661016949152,12315.551852915827,4
Bot_29,LSTM,29,0.011428717991626694,35,0.0671131194122948,0.1675694580504735,10,0.001730925409228811,"TitforTat,AlwaysCooperate,Random,AlwaysDefect,MajorityRule,Opposite,TwoTitsForTat,TitForTwoTats",8,0.002512562814070352,0.9487179487179487,0.6842105263157894,0.4576271186440678,1.390787269681742,277.54237288135596,20383.671933352492,8
Bot_30,LSTM,28,0.00642870968846918,26,0.15173722605661977,0.058559892099228926,16,0.009206630584246103,"Random,GrimTrigger,AlwaysDefect,TwoTitsForTat,AlwaysCooperate,MajorityRule",6,0.09346733668341708,0.8442926829268292,0.5147679324894515,0.3050847457627119,1.4457286432160803,288.9830508474576,16672.15225509911,6
Bot_31,LSTM,11,0.010241801755450223,27,0.17159021901992813,0.0890669816377251,11,0.009750479240452579,"MajorityRule,AlwaysDefect,Pavlov,GrimTrigger",4,0.14606365159128978,0.7617534942820838,0.6755725190839695,0.23728813559322035,1.6653266331658292,333.89830508474574,25504.735420856076,4
Bot_32,RNN,23,0.02010025483471084,27,0.08518853210993194,0.05259522378059715,15,0.001117364915084444,"TwoTitsForTat,Opposite,AlwaysCooperate",3,0.22596314907872697,0.7439298561151079,0.8093525179856116,0.22033898305084745,1.7073701842546063,340.96610169491527,41614.13444412524,3
Bot_33,RNN,15,0.03857853044791075,48,0.11259764761162082,0.05757976179377768,10,0.0017872172512949562,"AlwaysDefect,Opposite,TwoTitsForTat,MajorityRule,AlwaysCooperate,TitforTat",6,0.02864321608040201,0.9041280864197531,0.6666666666666666,0.3728813559322034,1.4938023450586264,298.864406779661,6243.371444987074,6
